problem,representation,sense,mixer,N,p,instance_seed,angle_seed,reps,tol,sample_from_periods,canonicalize,beta_period,gamma_period,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,2,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,50670,49330,0,0.50670000000000004,0.49330000000000002,0.0015809968690671087,0.0015809968690671085
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,3,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,20667,21594,57739,0.20666999999999999,0.21593999999999999,0.0012804589454566671,0.0013011914401808828
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,4,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,7647,8279,84074,0.076469999999999996,0.082790000000000002,0.00084037098414926252,0.00087141158989308836
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,5,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,2540,2813,94647,0.025399999999999999,0.028129999999999999,0.00049754236000565822,0.00052286425676268983
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,6,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,814,876,98310,0.0081399999999999997,0.0087600000000000004,0.00028414328075814145,0.00029467375858735712
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,7,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,252,283,99465,0.0025200000000000001,0.0028300000000000001,0.00015854493369389007,0.0001679878299163365
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,8,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,56,79,99865,0.00055999999999999995,0.00079000000000000001,7.4812191519831842e-05,8.8846828868564573e-05
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,9,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,14,26,99960,0.00013999999999999999,0.00025999999999999998,3.7413954615891648e-05,5.0983565979637007e-05
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,10,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,1,9,99990,1.0000000000000001e-05,9.0000000000000006e-05,9.999949999874999e-06,2.9998649969623634e-05
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,11,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),X,4,12,1,21264328,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,2,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,53414,46586,0,0.53413999999999995,0.46586,0.0015774487643026634,0.0015774487643026634
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,3,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,25516,19868,54616,0.25516,0.19868,0.0013785984709116718,0.0012617696208103919
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,4,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,11218,7744,81038,0.11218,0.077439999999999995,0.00099797619009673764,0.00084523988547630666
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,5,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,4834,2833,92333,0.048340000000000001,0.028330000000000001,0.00067825691592493184,0.00052466571357389085
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,6,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,2016,1031,96953,0.020160000000000001,0.01031,0.00044444993418831777,0.00031943236999402552
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,7,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,801,380,98819,0.0080099999999999998,0.0038,0.00028188366217289006,0.00019456515618167605
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,8,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,322,123,99555,0.0032200000000000002,0.00123,0.00017915444733525318,0.00011083713727808022
SK,pairwise Ising,maximize -H_SK (equiv. minimize H_SK),Grover,4,9,1,21264328,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,110,40,99850,0.0011000000000000001,0.00040000000000000002,0.0001048231844584012,6.3232902827562812e-05
