problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,X,10,2,1,21260228,100000,1.000e-12,false,51329,48671,0,0.51329000000000002,0.48670999999999998,0.001580580196953005,0.001580580196953005
SK,X,10,3,1,21260228,100000,1.000e-12,false,21871,21430,56699,0.21870999999999999,0.21429999999999999,0.0013071952260469743,0.001297595892410268
SK,X,10,4,1,21260228,100000,1.000e-12,false,8560,8891,82549,0.085599999999999996,0.088910000000000003,0.00088471826023881742,0.00090002784345818987
SK,X,10,5,1,21260228,100000,1.000e-12,false,3337,3583,93080,0.033369999999999997,0.035830000000000001,0.0005679475600792735,0.00058776024959161712
SK,X,10,6,1,21260228,100000,1.000e-12,false,1314,1407,97279,0.013140000000000001,0.014069999999999999,0.00036010193556824992,0.00037245181030570918
SK,X,10,7,1,21260228,100000,1.000e-12,false,530,578,98892,0.0053,0.0057800000000000004,0.00022960640234976029,0.00023972049557766228
SK,X,10,8,1,21260228,100000,1.000e-12,false,220,214,99566,0.0022000000000000001,0.00214,0.00014816072354034994,0.00014613077704576816
SK,X,10,9,1,21260228,100000,1.000e-12,false,99,90,99811,0.00098999999999999999,0.00089999999999999998,9.9449479636647662e-05,9.4825629446895838e-05
SK,X,10,10,1,21260228,100000,1.000e-12,false,46,31,99923,0.00046000000000000001,0.00031,6.7807698677952499e-05,5.5669012924606445e-05
SK,X,10,11,1,21260228,100000,1.000e-12,false,14,7,99979,0.00013999999999999999,6.9999999999999994e-05,3.7413954615891648e-05,2.6456587081481237e-05
SK,X,10,12,1,21260228,100000,1.000e-12,false,5,1,99994,5.0000000000000002e-05,1.0000000000000001e-05,2.2360120751015635e-05,9.999949999874999e-06
SK,X,10,13,1,21260228,100000,1.000e-12,false,3,0,99997,3.0000000000000001e-05,0,1.7320248266119051e-05,0
SK,X,10,14,1,21260228,100000,1.000e-12,false,3,0,99997,3.0000000000000001e-05,0,1.7320248266119051e-05,0
SK,X,10,15,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,10,16,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,10,17,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,10,18,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,10,19,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,10,20,1,21260228,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,10,2,1,21260228,100000,1.000e-12,false,45173,54827,0,0.45173000000000002,0.54827000000000004,0.001573753497533842,0.0015737534975338418
SK,Grover,10,3,1,21260228,100000,1.000e-12,false,19741,30176,50083,0.19741,0.30175999999999997,0.0012587267054448316,0.0014515540031290602
SK,Grover,10,4,1,21260228,100000,1.000e-12,false,8459,17114,74427,0.084589999999999999,0.17113999999999999,0.00087996893070153338,0.0011910125960710911
SK,Grover,10,5,1,21260228,100000,1.000e-12,false,3489,9963,86548,0.034889999999999997,0.099629999999999996,0.00058028172382042155,0.00094712123352821097
SK,Grover,10,6,1,21260228,100000,1.000e-12,false,1459,5521,93020,0.014590000000000001,0.055210000000000002,0.00037917188582488554,0.00072223165189570586
SK,Grover,10,7,1,21260228,100000,1.000e-12,false,684,2921,96395,0.0068399999999999997,0.02921,0.00026063795579308859,0.00053251080646311768
SK,Grover,10,8,1,21260228,100000,1.000e-12,false,342,1495,98163,0.0034199999999999999,0.01495,0.00018461591480693098,0.00038375118892323967
SK,Grover,10,9,1,21260228,100000,1.000e-12,false,177,726,99097,0.0017700000000000001,0.00726,0.00013292355321762957,0.00026846400876095105
SK,Grover,10,10,1,21260228,100000,1.000e-12,false,93,370,99537,0.00093000000000000005,0.0037000000000000002,9.639165420304809e-05,0.0001919976562356947
SK,Grover,10,11,1,21260228,100000,1.000e-12,false,45,178,99777,0.00044999999999999999,0.0017799999999999999,6.7066944167749285e-05,0.0001332978469443524
SK,Grover,10,12,1,21260228,100000,1.000e-12,false,27,82,99891,0.00027,0.00081999999999999998,5.1954508947732345e-05,9.0516716688134456e-05
SK,Grover,10,13,1,21260228,100000,1.000e-12,false,19,38,99943,0.00019000000000000001,0.00038000000000000002,4.3584848284696367e-05,6.1632426530195937e-05
SK,Grover,10,14,1,21260228,100000,1.000e-12,false,15,19,99966,0.00014999999999999999,0.00019000000000000001,3.8726928615628683e-05,4.3584848284696367e-05
SK,Grover,10,15,1,21260228,100000,1.000e-12,false,10,8,99982,0.0001,8.0000000000000007e-05,3.1621195423323263e-05,2.8283139853983683e-05
SK,Grover,10,16,1,21260228,100000,1.000e-12,false,5,6,99989,5.0000000000000002e-05,6.0000000000000002e-05,2.2360120751015635e-05,2.4494162569885914e-05
SK,Grover,10,17,1,21260228,100000,1.000e-12,false,2,3,99995,2.0000000000000002e-05,3.0000000000000001e-05,1.4141994201667599e-05,1.7320248266119051e-05
SK,Grover,10,18,1,21260228,100000,1.000e-12,false,1,2,99997,1.0000000000000001e-05,2.0000000000000002e-05,9.999949999874999e-06,1.4141994201667599e-05
SK,Grover,10,19,1,21260228,100000,1.000e-12,false,1,1,99998,1.0000000000000001e-05,1.0000000000000001e-05,9.999949999874999e-06,9.999949999874999e-06
SK,Grover,10,20,1,21260228,100000,1.000e-12,false,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
SK,X,10,2,2,21260229,100000,1.000e-12,false,47859,52141,0,0.47859000000000002,0.52141000000000004,0.0015796886145693397,0.0015796886145693397
SK,X,10,3,2,21260229,100000,1.000e-12,false,19983,24064,55953,0.19983000000000001,0.24063999999999999,0.0012645076951130032,0.0013517854504321311
SK,X,10,4,2,21260229,100000,1.000e-12,false,7857,9951,82192,0.078570000000000001,0.099510000000000001,0.00085086282736995865,0.00094661375386162656
SK,X,10,5,2,21260229,100000,1.000e-12,false,3016,4056,92928,0.030159999999999999,0.040559999999999999,0.00054083615263774668,0.00062381797345058916
SK,X,10,6,2,21260229,100000,1.000e-12,false,1172,1609,97219,0.01172,0.01609,0.0003403328018278579,0.00039788329821695208
SK,X,10,7,2,21260229,100000,1.000e-12,false,477,614,98909,0.0047699999999999999,0.0061399999999999996,0.00021788178216638489,0.00024702834655156478
