problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,X,5,7,2,21260229,100000,1.000e-12,false,304,234,99462,0.0030400000000000002,0.0023400000000000001,0.00017409073496312203,0.00015279150499945997
SK,X,5,8,2,21260229,100000,1.000e-12,false,106,69,99825,0.00106,0.00068999999999999997,0.00010290172010224125,8.3037575831667923e-05
SK,X,5,9,2,21260229,100000,1.000e-12,false,34,10,99956,0.00034000000000000002,0.0001,5.8299605487515952e-05,3.1621195423323263e-05
SK,X,5,10,2,21260229,100000,1.000e-12,false,14,4,99982,0.00013999999999999999,4.0000000000000003e-05,3.7413954615891648e-05,1.9999599995999918e-05
SK,X,5,11,2,21260229,100000,1.000e-12,false,3,1,99996,3.0000000000000001e-05,1.0000000000000001e-05,1.7320248266119051e-05,9.999949999874999e-06
SK,X,5,12,2,21260229,100000,1.000e-12,false,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
SK,X,5,13,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,2,21260229,100000,1.000e-12,false,52102,47898,0,0.52102000000000004,0.47898000000000002,0.0015797409901626279,0.0015797409901626279
SK,Grover,5,3,2,21260229,100000,1.000e-12,false,26748,20634,52618,0.26748,0.20634,0.0013997658718514323,0.0012797023263243683
SK,Grover,5,4,2,21260229,100000,1.000e-12,false,13520,8608,77872,0.13519999999999999,0.086080000000000004,0.0010812999583834264,0.00088696242084994781
SK,Grover,5,5,2,21260229,100000,1.000e-12,false,6844,3389,89767,0.068440000000000001,0.033890000000000003,0.00079847333330550251,0.00057220160695335351
SK,Grover,5,6,2,21260229,100000,1.000e-12,false,3413,1340,95247,0.034130000000000001,0.0134,0.00057415279412365494,0.00036359922992217682
SK,Grover,5,7,2,21260229,100000,1.000e-12,false,1598,541,97861,0.015980000000000001,0.0054099999999999999,0.00039654305693077012,0.0002319640467831168
SK,Grover,5,8,2,21260229,100000,1.000e-12,false,681,215,99104,0.0068100000000000001,0.00215,0.00026006968104721475,0.00014647107222929721
SK,Grover,5,9,2,21260229,100000,1.000e-12,false,261,82,99657,0.0026099999999999999,0.00081999999999999998,0.00016134397726596427,9.0516716688134456e-05
SK,Grover,5,10,2,21260229,100000,1.000e-12,false,113,37,99850,0.0011299999999999999,0.00036999999999999999,0.0001062413808268699,6.0816371151195791e-05
SK,Grover,5,11,2,21260229,100000,1.000e-12,false,39,15,99946,0.00038999999999999999,0.00014999999999999999,6.2437801050325273e-05,3.8726928615628683e-05
SK,Grover,5,12,2,21260229,100000,1.000e-12,false,14,0,99986,0.00013999999999999999,0,3.7413954615891648e-05,0
SK,Grover,5,13,2,21260229,100000,1.000e-12,false,5,0,99995,5.0000000000000002e-05,0,2.2360120751015635e-05,0
SK,Grover,5,14,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,15,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,16,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,17,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,18,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,19,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,20,2,21260229,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,2,3,21260230,100000,1.000e-12,false,52055,47945,0,0.52054999999999996,0.47944999999999999,0.0015798028278870752,0.0015798028278870755
SK,X,5,3,3,21260230,100000,1.000e-12,false,22423,20261,57316,0.22423000000000001,0.20261000000000001,0.0013189044965424904,0.0012710593530594863
SK,X,5,4,3,21260230,100000,1.000e-12,false,8457,7823,83720,0.084570000000000006,0.078229999999999994,0.00087987450866586648,0.00084917646634842634
